DATE,BX,BY,BZ,BT,LAT,LONG
2021-08-04 0000,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0001,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0002,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0003,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0004,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0005,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0006,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0007,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0008,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0009,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0010,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0011,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0012,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0013,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0014,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0015,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0016,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0017,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0018,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0019,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0020,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0021,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0022,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0023,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0024,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0025,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0026,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0027,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0028,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0029,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0030,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0031,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0032,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0033,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0034,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0035,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0036,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0037,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0038,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0039,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0040,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0041,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0042,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0043,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0044,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0045,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0046,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0047,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0048,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0049,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0050,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0051,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0052,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0053,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0054,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0055,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0056,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0057,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0058,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0059,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0100,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0101,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0102,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0103,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0104,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0105,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0106,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0107,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0108,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0109,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0110,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0111,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
2021-08-04 0112,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
